Time,LeftTorque,LeftVelocity
0.012893,-0.00061,0
0.013935,0.00061,0
0.014932,-0.000629,0
0.015916,0.00061,0
0.016969,0.004291,0
0.017974,0.006713,0
0.018978,0.011557,0
0.019961,0.017678,0
0.020934,0.023781,0
0.021932,0.029902,0.418879
0.022971,0.038427,0.837758
0.023961,0.043347,1.256637
0.024933,0.049468,1.675516
0.025975,0.057154,2.094395
0.026972,0.064553,2.827433
0.027959,0.068462,3.665191
0.028971,0.076624,4.29351
0.029973,0.086217,6.283185
0.030975,0.095485,7.435103
0.031916,0.101149,8.4823
0.032973,0.106546,10.053096
0.033972,0.110341,11.100294
0.034974,0.117893,12.88053
0.035962,0.12205,14.660766
0.036973,0.126779,16.336282
0.037973,0.134369,18.535397
0.038975,0.141387,20.525072
0.039959,0.147089,22.724187
0.040971,0.152295,24.923302
0.041973,0.155251,26.703538
0.042971,0.16286,28.169614
0.043961,0.166446,29.321531
0.044973,0.176457,30.368729
0.045973,0.178765,32.567844
0.046982,0.184791,35.709436
0.047926,0.191714,39.584067
0.048988,0.196615,43.144539
0.049972,0.199285,46.390852
0.050974,0.206646,49.951323
0.051962,0.208267,54.035394
0.052972,0.216448,57.386426
0.053973,0.222207,60.00442
0.054972,0.229111,62.203535
0.055961,0.2359,63.250732
0.056972,0.240305,64.821528
0.057979,0.248238,68.800879
0.058972,0.252395,74.246306
0.059961,0.258593,78.225657
0.060971,0.263304,84.299403
0.061973,0.271351,86.707957
0.062987,0.273373,87.126836
0.063972,0.278312,92.886423
0.064969,0.288171,96.342175
0.065972,0.287351,102.311201
0.066974,0.286646,105.348074
0.067964,0.289525,109.955743
0.068972,0.295952,113.411495
0.069974,0.297478,116.762527
0.070971,0.290364,121.789075
0.071959,0.293263,125.977865
0.072972,0.290612,131.004414
0.073934,0.2884,134.250726
0.074972,0.293931,142.628306
0.075963,0.292443,143.466065
0.076971,0.290841,144.094383
0.077982,0.290708,152.053084
0.07898,0.293072,156.451314
0.079966,0.297172,158.859869
0.08097,0.303141,166.504411
0.081972,0.301807,169.960163
0.082934,0.286798,170.90264
0.083961,0.289144,181.584055
0.084972,0.301387,182.002934
0.085973,0.298736,184.411489
0.086972,0.287199,189.542757
0.087964,0.302646,192.998509
0.088973,0.292176,199.805293
0.089974,0.307394,208.601752
0.090971,0.290746,213.418861
0.09196,0.307852,215.827415
0.092973,0.291413,219.492607
0.093971,0.304686,224.833314
0.094971,0.297382,228.498506
0.095964,0.287065,233.315614
0.096968,0.303675,236.876086
0.097971,0.290498,241.693195
0.098974,0.288648,244.939507
0.099961,0.304591,248.918858
0.100971,0.303065,254.573725
0.101973,0.289392,258.553075
0.102971,0.279799,262.218267
0.103957,0.294464,269.758089
0.104936,0.300033,268.187293
0.105973,0.312333,278.03095
0.106972,0.30932,279.392307
0.107956,0.297134,282.638619
0.108974,0.305849,293.424754
0.109971,0.308271,291.016199
0.110976,0.305144,296.880506
0.111959,0.307814,303.268411
0.112969,0.295628,305.886405
0.113972,0.28882,310.703513
0.114975,0.28306,316.148941
0.115958,0.297001,318.766935
0.116973,0.305773,322.117967
0.117973,0.283499,327.144515
0.118972,0.284777,333.218261
0.119956,0.294598,336.359853
0.120972,0.305335,339.396726
0.121973,0.28041,343.585517
0.122973,0.30564,347.250708
0.123959,0.28184,352.591415
0.124971,0.306212,356.675486
0.125971,0.285025,362.225633
0.126971,0.30419,365.053066
0.127964,0.299671,370.917373
0.128969,0.298431,374.268405
0.129971,0.284071,380.55159
0.130975,0.311494,384.94982
0.131961,0.290231,388.300852
0.132971,0.292157,393.3274
0.133973,0.306078,395.317076
0.134972,0.299499,398.563388
0.135959,0.282565,401.8097
0.136972,0.289335,407.778726
0.137975,0.306059,412.595835
0.138934,0.307223,418.041262
0.139961,0.302112,421.811174
0.140987,0.29824,426.628282
0.141973,0.295513,430.502913
0.142977,0.298584,435.634181
0.143963,0.287656,438.042736
0.144986,0.294751,442.650405
0.145977,0.287923,447.467514
0.146974,0.298946,450.923266
0.147916,0.30173,456.368693
0.148971,0.308748,460.348044
0.149973,0.30337,464.746273
0.150972,0.286131,471.971936
0.151962,0.308786,475.218249
0.152972,0.309168,478.150402
0.153979,0.283919,484.643027
0.154971,0.292672,489.460135
0.155962,0.308805,494.067805
0.156973,0.284281,500.45571
0.157971,0.30236,504.016181
0.158976,0.2884,507.471933
0.159965,0.301082,510.718246
0.160969,0.288782,514.697596
0.161972,0.294731,518.676947
0.162978,0.286398,524.331814
0.163962,0.30379,528.939483
0.164972,0.285654,531.976356
0.165983,0.296734,536.165146
0.166971,0.300224,539.516178
0.16796,0.290097,544.542727
0.16896,0.292405,550.197593
0.169973,0.307528,553.758065
0.170972,0.304801,559.203492
0.171959,0.302894,564.020601
0.172972,0.301387,567.266913
0.173971,0.290441,570.617946
0.174976,0.287275,573.864258
0.175959,0.293149,577.843609
0.176971,0.291356,581.71824
0.177973,0.29231,587.268387
0.178974,0.286512,591.666616
0.179964,0.288343,595.331808
0.180972,0.292462,601.929152
0.181973,0.299289,604.966025
0.182971,0.29763,608.735937
0.183914,0.301444,613.553045
0.184973,0.305678,615.333281
0.185971,0.291146,621.197587
0.186971,0.305354,625.595817
0.187961,0.299804,628.63269
0.188981,0.288057,633.449799
0.189974,0.288381,637.848028
0.190934,0.30749,644.026494
0.191969,0.298793,646.853927
0.192971,0.297783,651.252157
0.193932,0.306422,655.440947
0.194974,0.287428,656.907024
0.195964,0.307699,663.504368
0.196971,0.289945,666.541241
0.197973,0.310979,672.091388
0.198972,0.300205,675.966019
0.199961,0.301787,679.94537
0.200971,0.304705,685.390797
0.201974,0.289087,687.589912
0.202978,0.315613,693.349499
0.203914,0.293911,695.967493
0.204972,0.277454,700.784601
0.205971,0.272419,703.402595
0.206971,0.28205,709.476341
0.207964,0.282946,713.246252
0.208969,0.287237,716.073686
0.209972,0.274326,722.042712
0.210975,0.231628,728.849496
0.211976,0.224324,732.095808
0.212973,0.226441,733.876044
0.213933,0.222245,739.112032
0.214972,0.214979,741.939465
0.215958,0.228653,746.547134
0.216972,0.231132,750.945364
0.217973,0.217134,753.772797
0.218972,-0.006255,756.181352
0.219962,0.209773,757.961588
0.220971,0.212138,761.626779
0.221972,0.21826,762.778696
0.222976,0.198732,768.433563
0.223915,0.19917,771.365716
0.224968,0.213168,775.030908
0.225974,0.219442,778.27722
0.226974,0.206989,779.429137
0.227965,0.192553,782.884889
0.228971,0.190665,784.455686
0.229973,0.199075,787.073679
0.230985,0.181797,791.471909
0.231962,0.215552,793.671024
0.232977,0.194307,797.440935
0.233933,0.194174,800.896687
0.234974,0.199647,801.525006
0.23596,0.185268,804.457159
0.236971,-0.060052,805.923235
0.237971,0.184124,808.541229
0.238971,0.167113,812.101701
0.239966,0.18645,816.290491
0.240968,0.176248,817.966007
0.241972,0.173635,820.793441
0.242974,0.158684,822.783116
0.243992,0.163814,823.935033
0.244974,0.14236,825.924709
0.245973,0.1764,828.542703
0.246932,0.174169,830.532378
0.247973,0.172701,833.98813
0.248975,0.173387,836.606124
0.249974,0.16061,839.224118
0.250973,-0.033468,841.213793
0.251962,0.138374,842.784589
0.252933,0.15077,844.250666
0.253973,0.141692,846.030902
0.254976,0.151609,849.067775
0.25596,0.149092,850.638571
0.256932,0.155556,853.675444
0.257971,0.152372,854.617922
0.258977,0.129678,855.45568
0.259965,0.121688,857.654794
0.260972,0.122126,860.272788
0.261973,0.145945,861.634145
0.262934,0.126455,865.089897
0.263916,0.126531,866.870133
0.264972,0.11795,867.079572
0.265972,0.133969,868.650369
0.266933,0.111084,868.12677
0.26796,0.132043,870.535324
0.268971,0.129812,872.525
0.269971,0.110551,876.085471
0.270976,0.116615,878.912905
0.271962,0.116615,878.912905
0.272934,0.113182,879.750663
0.273934,0.104295,879.750663
0.274934,0.107995,882.368657
0.275961,0.047771,885.510249
0.276932,0.038274,886.976326
0.277973,0.021988,888.756562
0.278972,0.019051,889.699039
0.279961,0.08574,889.699039
0.280971,0.094188,891.165116
0.281984,0.084996,891.165116
0.282971,0.093902,893.992549
0.283917,0.09333,895.353906
0.284971,0.087914,897.134142
0.285984,0.076815,897.9719
0.286933,0.073287,897.9719
0.287962,0.036214,899.333257
0.288969,0.025135,899.123817
0.289972,0.024334,901.741811
0.290976,0.037015,902.789009
0.291965,0.0402,904.150366
0.292972,0.055666,904.988124
0.293973,0.065506,904.569245
0.294933,0.083147,905.825882
0.29596,0.073936,905.825882
0.296978,0.073669,908.234436
0.297984,0.075003,909.386353
0.298971,0.06892,910.224112
0.299962,0.064782,910.642991
0.300971,0.04676,910.014672
0.301971,0.061139,911.376029
0.302976,0.074336,911.585468
0.30396,0.049144,914.622341
0.304933,0.053816,915.460099
0.305947,0.050365,915.460099
0.306973,0.047905,915.774259
0.307963,0.048229,914.203462
0.308972,0.040486,915.983698
0.309985,0.048,916.612017
0.310988,0.046455,919.43945
0.311962,0.056505,920.591367
0.312972,0.041745,919.858329
