Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Total assembly,-0.0195249578204248,0.00195572431337624,0.0199534599761812,0,0,0,12.7319888109524,0.099910085738785,0.000904001123724784,0.00649172844420192,0.127406348155969,-0.000316780368073457,0.180681987163622,0,0,0,0,0,0,package://urdf.SLDASM/meshes/Total assembly.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://urdf.SLDASM/meshes/Total assembly.STL,,urdf1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
body&wheels,-0.014464583145287,-3.4777801978525E-08,-0.04630188656629,0,0,0,7.38762341423434,0.0858099715349203,9.06674283538533E-08,0.00463615934367856,0.108320017042519,9.21827441555587E-06,0.161187478867477,0,0,0,0,0,0,package://urdf.SLDASM/meshes/body&wheels.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf.SLDASM/meshes/body&wheels.STL,,车体-1,坐标系1,基准轴7,body&wheels,continuous,0,0,0,0,0,0,Total assembly,0,0,-1,,,,,,,,,,,,
frout left wheel,-0.0145,0,-1.11022302462516E-16,0,0,0,0.533176182602155,0.00156014015731673,8.13151629364128E-20,3.92107847703925E-20,0.000817436842789067,1.0405631885096E-19,0.000817436842789067,0,0,0,0,0,0,package://urdf.SLDASM/meshes/frout left wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf.SLDASM/meshes/frout left wheel.STL,,轮子-4,坐标系5,基准轴4,frout left wheel,continuous,0.16718,0.16718,-0.0907,0,0,0.7854,body&wheels,1,0,0,,,,,,,,,,,,
frout right wheel,-0.0145,-1.38777878078145E-17,-1.11022302462516E-16,0,0,0,0.533176182602155,0.00156014015731673,0,9.67092878960191E-20,0.000817436842789067,4.59189434683823E-20,0.000817436842789066,0,0,0,0,0,0,package://urdf.SLDASM/meshes/frout right wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf.SLDASM/meshes/frout right wheel.STL,,轮子-2,坐标系7,基准轴1,frout right wheel,continuous,0.16718,-0.16718,-0.09097,0,0,-0.7854,body&wheels,1,0,0,,,,,,,,,,,,
back left wheel,-0.0145,-1.38777878078145E-17,0,0,0,0,0.533176182602155,0.00156014015731673,0,-1.14198415930064E-20,0.000817436842789067,-5.8057516350459E-20,0.000817436842789067,0,0,0,0,0,0,package://urdf.SLDASM/meshes/back left wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf.SLDASM/meshes/back left wheel.STL,,轮子-1,坐标系6,基准轴3,back left wheel,continuous,-0.16718,0.16718,-0.09097,0,0,2.3562,body&wheels,-1,0,0,,,,,,,,,,,,
back right wheel,-0.127403866697427,-0.181711200468062,-0.204299845961811,0,0,0,0.533176182602155,0.00106221244233337,0.000349113956989373,8.69614394519842E-20,0.00131536455777242,-2.43969840038229E-20,0.000817436842789066,0,0,0,0,0,0,package://urdf.SLDASM/meshes/back right wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf.SLDASM/meshes/back right wheel.STL,,轮子-3,坐标系3,基准轴2,back right wheel,continuous,0,0,0.1136,0,0,-0.17391,body&wheels,0.57409,0.8188,0,,,,,,,,,,,,
body&gimbol,-0.014464583145287,-3.47778019750555E-08,-0.0463018865662903,0,0,0,7.38762341423434,0.0858099715349203,9.06674283547613E-08,0.00463615934367856,0.108320017042519,9.21827441555822E-06,0.161187478867477,0,0,0,0,0,0,package://urdf.SLDASM/meshes/body&gimbol.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf.SLDASM/meshes/body&gimbol.STL,,车体-1,坐标系1,基准轴7,body&gimbol,continuous,0,0,0,0,0,0,Total assembly,0,0,-1,,,,,,,,,,,,
gimbol,-0.000418768299019601,-2.91433543964104E-16,-0.0356697610188731,0,0,0,0.296006965244182,0.00245101679694451,-2.16840434497101E-19,1.00776769706153E-05,0.0014572578844202,-5.56077129872448E-19,0.00136511673062511,0,0,0,0,0,0,package://urdf.SLDASM/meshes/gimbol.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf.SLDASM/meshes/gimbol.STL,,云台架-1,坐标系3,基准轴7,gimbol,continuous,0,0,0.1136,0,0,-0.17391,body&gimbol,0,0,-1,,,,,,,,,,,,
gimbol&launch,-0.000418768299019601,-2.77555756156289E-16,-0.0356697610188731,0,0,0,0.296006965244182,0.00245101679694451,2.71050543121376E-20,1.00776769706153E-05,0.0014572578844202,-4.32833836046947E-19,0.00136511673062511,0,0,0,0,0,0,package://urdf.SLDASM/meshes/gimbol&launch.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf.SLDASM/meshes/gimbol&launch.STL,,云台架-1,坐标系3,基准轴7,gimbol&launch,continuous,0,0,0.1136,0,0,-0.17391,Total assembly,0,0,-1,,,,,,,,,,,,
launch,-0.0526954299975222,2.81969296522799E-09,0.0528104483400688,0,0,0,2.91565370106525,0.00653411801697912,-2.08265526950128E-10,0.00135570597140225,0.0130327240230517,-2.7407729920282E-10,0.015060664789859,0,0,0,0,0,0,package://urdf.SLDASM/meshes/launch.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://urdf.SLDASM/meshes/launch.STL,,发射-1,坐标系4,基准轴6,launch,continuous,0,0,0.0934,0,0.062163,0,gimbol&launch,0,-1,0,,,,,,,,,,,,
